"Eastern Date Hour","Zone Name","Zone PTID","TWI Zonal LBMP","TWI Zonal Losses","TWI Zonal Congestion","TWI Zonal Price Version"
"2016/01/01 09:00:00","NORTH","61755","0.14","-0.01","0","3"
"2016/01/01 09:00:00","WEST","61752","1.53","0","-1.39","4"
"2016/01/01 10:00:00","CAPITL","61757","9.45","0.23","-5.85","4"
"2016/01/01 10:00:00","CENTRL","61754","4.06","0.01","-0.67","4"
"2016/01/01 10:00:00","DUNWOD","61760","8.07","0.31","-4.38","4"
"2016/01/01 10:00:00","GENESE","61753","3.76","-0.15","-0.54","4"
"2016/01/01 10:00:00","HUD VL","61758","8.04","0.31","-4.35","4"
"2016/01/01 10:00:00","LONGIL","61762","8.18","0.42","-4.38","4"
"2016/01/01 10:00:00","MHK VL","61756","4.3","0.12","-0.8","4"
"2016/01/01 10:00:00","MILLWD","61759","8.11","0.32","-4.41","4"
"2016/01/01 10:00:00","N.Y.C.","61761","8.09","0.33","-4.38","4"
"2016/01/01 10:00:00","NORTH","61755","3.26","-0.12","0","4"
"2016/01/01 10:00:00","WEST","61752","3.81","-0.26","-0.69","4"
"2016/01/01 11:00:00","CAPITL","61757","9.93","0.23","-6.29","4"
"2016/01/01 11:00:00","CENTRL","61754","4.15","0.01","-0.72","4"
"2016/01/01 11:00:00","DUNWOD","61760","8.44","0.32","-4.71","4"
"2016/01/01 11:00:00","GENESE","61753","3.84","-0.15","-0.58","4"
"2016/01/01 11:00:00","HUD VL","61758","8.41","0.32","-4.68","4"
"2016/01/01 11:00:00","LONGIL","61762","8.54","0.41","-4.72","4"
"2016/01/01 11:00:00","MHK VL","61756","4.4","0.12","-0.87","4"
"2016/01/01 11:00:00","MILLWD","61759","8.48","0.33","-4.74","4"
"2016/01/01 11:00:00","N.Y.C.","61761","8.46","0.33","-4.72","4"
"2016/01/01 11:00:00","NORTH","61755","3.28","-0.13","0","4"
"2016/01/01 11:00:00","WEST","61752","3.89","-0.26","-0.74","4"
"2016/01/01 12:00:00","CAPITL","61757","13.85","0.04","-13.21","4"
"2016/01/01 12:00:00","CENTRL","61754","2.1","0","-1.51","4"
"2016/01/01 12:00:00","DUNWOD","61760","10.55","0.06","-9.9","4"
"2016/01/01 12:00:00","GENESE","61753","1.79","-0.02","-1.22","4"
"2016/01/01 12:00:00","HUD VL","61758","10.47","0.06","-9.82","4"
"2016/01/01 12:00:00","LONGIL","61762","10.58","0.07","-9.91","4"
"2016/01/01 12:00:00","MHK VL","61756","2.43","0.02","-1.81","4"
"2016/01/01 12:00:00","MILLWD","61759","10.62","0.06","-9.97","4"
"2016/01/01 12:00:00","N.Y.C.","61761","10.56","0.06","-9.91","4"
"2016/01/01 12:00:00","NORTH","61755","0.57","-0.02","0","4"
"2016/01/01 12:00:00","WEST","61752","2.1","-0.04","-1.55","4"
"2016/01/01 13:00:00","CAPITL","61757","19.81","0.1","-18.23","4"
"2016/01/01 13:00:00","CENTRL","61754","3.56","0","-2.08","4"
"2016/01/01 13:00:00","DUNWOD","61760","15.28","0.14","-13.66","4"
"2016/01/01 13:00:00","GENESE","61753","3.09","-0.08","-1.68","4"
"2016/01/01 13:00:00","HUD VL","61758","15.17","0.14","-13.55","4"
"2016/01/01 13:00:00","LONGIL","61762","15.34","0.19","-13.67","4"
"2016/01/01 13:00:00","MHK VL","61756","4.02","0.05","-2.49","4"
"2016/01/01 13:00:00","MILLWD","61759","15.38","0.14","-13.75","4"
"2016/01/01 13:00:00","N.Y.C.","61761","15.3","0.15","-13.67","4"
"2016/01/01 13:00:00","NORTH","61755","1.43","-0.05","0","4"
"2016/01/01 13:00:00","WEST","61752","3.5","-0.13","-2.14","4"
"2016/01/01 14:00:00","CAPITL","61757","23.8","0.04","-23.19","4"
"2016/01/01 14:00:00","CENTRL","61754","3.22","0","-2.64","4"
"2016/01/01 14:00:00","DUNWOD","61760","18.01","0.06","-17.38","4"
"2016/01/01 14:00:00","GENESE","61753","2.68","-0.04","-2.14","4"
"2016/01/01 14:00:00","HUD VL","61758","17.87","0.06","-17.24","4"
"2016/01/01 14:00:00","LONGIL","61762","18.05","0.08","-17.39","4"
"2016/01/01 14:00:00","MHK VL","61756","3.75","0.02","-3.16","4"
"2016/01/01 14:00:00","MILLWD","61759","18.13","0.06","-17.5","4"
"2016/01/01 14:00:00","N.Y.C.","61761","18.03","0.06","-17.39","4"
"2016/01/01 14:00:00","NORTH","61755","0.56","-0.02","0","4"
"2016/01/01 14:00:00","WEST","61752","3.24","-0.06","-2.72","4"
"2016/01/01 15:00:00","CAPITL","61757","37.16","-0.07","-38.26","4"
"2016/01/01 15:00:00","CENTRL","61754","3.34","0","-4.37","4"
"2016/01/01 15:00:00","DUNWOD","61760","27.55","-0.1","-28.68","4"
"2016/01/01 15:00:00","GENESE","61753","2.55","0.05","-3.53","4"
"2016/01/01 15:00:00","HUD VL","61758","27.31","-0.1","-28.44","4"
"2016/01/01 15:00:00","LONGIL","61762","27.54","-0.14","-28.7","4"
"2016/01/01 15:00:00","MHK VL","61756","4.16","-0.03","-5.22","4"
"2016/01/01 15:00:00","MILLWD","61759","27.74","-0.1","-28.87","4"
"2016/01/01 15:00:00","N.Y.C.","61761","27.57","-0.11","-28.69","4"
"2016/01/01 15:00:00","NORTH","61755","-0.99","0.04","0","4"
"2016/01/01 15:00:00","WEST","61752","3.54","0.08","-4.49","4"
"2016/01/01 16:00:00","CAPITL","61757","21.3","0.6","-12.03","4"
"2016/01/01 16:00:00","CENTRL","61754","10.06","0.02","-1.37","4"
"2016/01/01 16:00:00","DUNWOD","61760","18.56","0.87","-9.02","4"
"2016/01/01 16:00:00","GENESE","61753","9.33","-0.45","-1.11","4"
"2016/01/01 16:00:00","HUD VL","61758","18.48","0.87","-8.94","4"
"2016/01/01 16:00:00","LONGIL","61762","18.91","1.22","-9.02","4"
"2016/01/01 16:00:00","MHK VL","61756","10.62","0.31","-1.64","4"
"2016/01/01 16:00:00","MILLWD","61759","18.64","0.9","-9.08","4"
"2016/01/01 16:00:00","N.Y.C.","61761","18.59","0.9","-9.02","4"
"2016/01/01 16:00:00","NORTH","61755","8.36","-0.31","0","4"
"2016/01/01 16:00:00","WEST","61752","9.29","-0.79","-1.41","4"
"2016/01/01 17:00:00","CAPITL","61757","114.5","6.83","-8.8","4"
"2016/01/01 17:00:00","CENTRL","61754","100.74","0.81","-1.07","4"
"2016/01/01 17:00:00","DUNWOD","61760","115.46","9.99","-6.6","4"
"2016/01/01 17:00:00","GENESE","61753","95.71","-3.97","-0.81","4"
"2016/01/01 17:00:00","HUD VL","61758","115.49","10.07","-6.55","4"
"2016/01/01 17:00:00","LONGIL","61762","119.34","13.87","-6.61","4"
"2016/01/01 17:00:00","MHK VL","61756","103.91","3.84","-1.2","4"
"2016/01/01 17:00:00","MILLWD","61759","115.85","10.34","-6.65","4"
"2016/01/01 17:00:00","N.Y.C.","61761","115.68","10.2","-6.61","4"
"2016/01/01 17:00:00","NORTH","61755","95.47","-3.4","0","4"
"2016/01/01 17:00:00","WEST","61752","93.03","-7.77","-1.93","4"
"2016/01/01 18:00:00","CAPITL","61757","39.46","0.39","-33.48","4"
"2016/01/01 18:00:00","CENTRL","61754","10.02","0.03","-4.38","4"
"2016/01/01 18:00:00","DUNWOD","61760","31.28","0.57","-25.11","4"
"2016/01/01 18:00:00","GENESE","61753","8.44","-0.25","-3.09","4"
"2016/01/01 18:00:00","HUD VL","61758","31.05","0.57","-24.88","4"
"2016/01/01 18:00:00","LONGIL","61762","39.86","0.79","-33.47","4"
"2016/01/01 18:00:00","MHK VL","61756","10.33","0.21","-4.53","4"
"2016/01/01 18:00:00","MILLWD","61759","31.47","0.59","-25.28","4"
"2016/01/01 18:00:00","N.Y.C.","61761","31.32","0.59","-25.13","4"
"2016/01/01 18:00:00","NORTH","61755","5.39","-0.2","0","4"
"2016/01/01 18:00:00","WEST","61752","17.37","-0.45","-12.22","4"
"2016/01/01 19:00:00","CAPITL","61757","31.65","0.66","-21.35","4"
"2016/01/01 19:00:00","CENTRL","61754","13.02","0.06","-3.32","4"
"2016/01/01 19:00:00","DUNWOD","61760","26.64","0.98","-16.02","4"
"2016/01/01 19:00:00","GENESE","61753","11.18","-0.43","-1.97","4"
"2016/01/01 19:00:00","HUD VL","61758","26.49","0.98","-15.87","4"
"2016/01/01 19:00:00","LONGIL","61762","28.56","1.39","-17.53","4"
"2016/01/01 19:00:00","MHK VL","61756","12.9","0.35","-2.91","4"
"2016/01/01 19:00:00","MILLWD","61759","26.78","1.02","-16.13","4"
"2016/01/01 19:00:00","N.Y.C.","61761","26.68","1.02","-16.03","4"
"2016/01/01 19:00:00","NORTH","61755","9.26","-0.38","0","4"
"2016/01/01 19:00:00","WEST","61752","24.34","-0.75","-15.46","4"
"2016/01/01 20:00:00","CAPITL","61757","29.93","0.76","-17.94","4"
"2016/01/01 20:00:00","CENTRL","61754","14.15","0.08","-2.84","4"
"2016/01/01 20:00:00","DUNWOD","61760","25.84","1.15","-13.46","4"
"2016/01/01 20:00:00","GENESE","61753","12.38","-0.5","-1.65","4"
"2016/01/01 20:00:00","HUD VL","61758","25.7","1.14","-13.33","4"
"2016/01/01 20:00:00","LONGIL","61762","40.61","1.6","-27.78","4"
"2016/01/01 20:00:00","MHK VL","61756","14.1","0.39","-2.47","4"
"2016/01/01 20:00:00","MILLWD","61759","25.96","1.18","-13.55","4"
